diameter,density,gas_density,gas_viscosity,sphericity,voidage,umf
100,2313,1.252,2.00E-05,1,0.48,1.189
100,2984,0.348,4.24E-05,1,0.48,0.723
100,3295,0.558,3.14E-05,1,0.48,1.078
100,2620,1.172,1.86E-05,0.55,0.45,1.22
100,1500,1.212,1.81E-05,1,0.45,0.5
100,2480,1.212,1.81E-05,1,0.45,0.9
100,2620,1.212,1.81E-05,1,0.45,1.16
100,1500,1.212,1.81E-05,1,0.45,0.59
100,3295,0.599,3.63E-05,1,0.48,0.934
100,2650,1.212,1.81E-05,1,0.45,1.6
100,1440,1.212,1.81E-05,1,0.39,0.72
100,2450,1.212,1.80E-05,1,0.45,0.82
100,900,1.212,1.81E-05,1,0.45,0.4
1000,2526,1.212,1.81E-05,1,0.45,64
1000,1460,1.18415,1.85E-05,1,0.45,34.3
1000,2526,1.212,1.81E-05,1,0.45,67
1000,2526,1.212,1.81E-05,1,0.45,68
1000,1040,1.212,1.81E-05,1,0.45,32
1000,2526,1.212,1.81E-05,1,0.45,63.6
1000,1040,1.212,1.81E-05,1,0.45,33
1000,2500,1.212,1.81E-05,1,0.45,56
1000,918,1.225,1.81E-05,1,0.45,24
1000,750,1.225,1.81E-05,1,0.45,20
1000,2700,1.212,1.81E-05,1,0.45,55.8
1000,2930,1.212,1.81E-05,1,0.45,53
1000,2600,0.316220837,4.55E-05,1,0.45,40
1000,2600,1.212,1.81E-05,1,0.45,55
1000,1600,1.2,1.81E-05,1,0.45,53.3
10000,794,1.212,1.81E-05,1,0.45,146
1006,189,1.212,1.81E-05,1,0.45,15
101,2450,1.2,1.80E-05,1,0.41,0.91
101,3120,1.212,1.81E-05,1,0.45,1.08
102.5,1474,1.212,1.81E-05,1,0.45,0.5
102.5,3950,1.212,1.81E-05,1,0.45,1.4
103,1779,1.212,1.81E-05,1,0.45,0.6
103,2620,1.19166443,1.84E-05,0.61,0.45,1.09
1040,1080,1.212,1.81E-05,1,0.45,62
1040,1080,1.212,1.81E-05,1,0.45,60.8
1040,1080,1.212,1.81E-05,0.71,0.45,60.8
106,2650,1.212,1.81E-05,1,0.45,1.4
107,1560,1.2156,1.81E-05,1,0.45,0.606
1089,2650,1.212,1.81E-05,1,0.45,75.16
1093,2985,1.2,1.80E-05,1,0.45,68
1095,1000,1.212,1.81E-05,1,0.45,36
1095,2200,1.212,1.81E-05,1,0.45,54
1100,870,1.212,1.81E-05,1,0.45,30.9
1100,4100,1.212,1.81E-05,1,0.45,85
1100,3500,1.212,1.81E-05,1,0.45,80
1100,800,1.212,1.81E-05,1,0.45,24
1100,6000,1.212,1.81E-05,1,0.45,108
113,2562,1.212,1.81E-05,1,0.45,1.82
113,931,1.212,1.81E-05,1,0.45,0.4
1134,2673,1.212,1.81E-05,1,0.45,63.4
114.5,3970,1.212,1.81E-05,1,0.45,1.7
114.5,3950,1.212,1.81E-05,1,0.45,1.7
114.5,1474,1.212,1.81E-05,1,0.45,0.6
115,910,1.2,1.81E-05,1,0.45,0.52
1150,2500,1.212,1.81E-05,1,0.45,63
1150,800,1.212,1.81E-05,1,0.45,24
116,2462,1.212,1.81E-05,1,0.45,1.3
116,2500,1.212,1.81E-05,1,0.45,1.8
116,2476,1,1.83E-05,1,0.45,1.8
116,2500,1.212,1.81E-05,1,0.45,1.7
116,2476,1.2,1.83E-05,1,0.45,1.8
116,2462,1.212,1.81E-05,1,0.45,1.109
116,2476,1.212,1.81E-05,1,0.45,1.8
116,1350,1.212,1.81E-05,1,0.45,0.69
116,1800,0.442236613,3.70E-05,1,0.45,0.8
117,2650,1.212,1.81E-05,1,0.45,1.52
1170,4170,1.212,1.81E-05,1,0.45,158
1190,386.5,1.212,1.81E-05,1,0.45,19.3
1190,386,1.212,1.81E-05,1,0.45,19.3
120,4500,1.212,1.81E-05,0.729,0.579,5.898
120,2500,1.212,1.81E-05,1,0.45,1.43
120,2500,1.212,1.81E-05,1,0.45,1.4
120,2650,1.212,1.81E-05,1,0.45,2
120,2650,7.2,1.81E-05,1,0.45,1
1200,900,1.212,1.81E-05,1,0.45,30
1200,2793,1.212,1.81E-05,1,0.45,67
1200,1000,1.205,1.80E-05,1,0.45,30
1200,1000,1.2,1.80E-05,1,0.45,30
1200,1545,1.212,1.81E-05,0.65,0.4625,34
1200,1000,1.212,1.81E-05,1,0.45,30
1200,390,1.212,1.81E-05,1,0.45,18
1200,1042,1.212,1.81E-05,1,0.45,51
1200,2500,1.212,1.81E-05,1,0.45,66
1203,138,1.212,1.81E-05,1,0.45,7.4
121,900,1.212,1.81E-05,1,0.45,0.8
1210,532,1.212,1.81E-05,1,0.45,25.2
122,8822,1.212,1.81E-05,1,0.4,4.4
125,2600,1.225,1.79E-05,1,0.4,2.2
125,2019,1.212,1.81E-05,1,0.45,1.7
125,1618,1.212,1.81E-05,1,0.45,1.3
125,2600,1.212,1.81E-05,1,0.45,1.7
125,2600,1.212,1.81E-05,1,0.45,1.7
125,2600,1.212,1.81E-05,1,0.45,2.12
125,9000,1.2,1.80E-05,1,0.45,4.4
125.7,7829,1.212,1.81E-05,1,0.45,6.1
127,2623,1.212,1.81E-05,1,0.45,1.23
128,4750,1.212,1.81E-05,1,0.455,1.29
128,2650,1.212,1.81E-05,1,0.45,1.2
128,4750,1.212,1.81E-05,1,0.396,1.29
